Customer ID,Time_Morning,Time_Afternoon,Time_Evening,Day_0,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,UniqueProducts,CustomerOrdersPlaced,CustomerTotalItems,CustomerTotalSpend,CustomerDaysActive,CustomerCountry,CustomerAvgBasketSize,CustomerAvgSpend,CustomerLoyaltySpan,Active_Engaged,Active_Occasional,Active_One-Time,Active_Repeat Loyal,Active_Super Active,CustomerNumOfReturns,CustomerReturnRate,Country_Australia,Country_Austria,Country_Bahrain,Country_Belgium,Country_Brazil,Country_Canada,Country_Channel Islands,Country_Cyprus,Country_Czech Republic,Country_Denmark,Country_EIRE,Country_European Community,Country_Finland,Country_France,Country_Germany,Country_Greece,Country_Iceland,Country_Israel,Country_Italy,Country_Japan,Country_Korea,Country_Lebanon,Country_Lithuania,Country_Malta,Country_Netherlands,Country_Nigeria,Country_Norway,Country_Poland,Country_Portugal,Country_RSA,Country_Saudi Arabia,Country_Singapore,Country_Spain,Country_Sweden,Country_Switzerland,Country_Thailand,Country_USA,Country_United Arab Emirates,Country_United Kingdom,Country_Unspecified,Country_West Indies,Returner
12346.0,0.23529411764705882,0.7647058823529411,0.0,0.7058823529411765,0.17647058823529413,0.0,0.029411764705882353,0.08823529411764706,0.0,0.0,27,12,74285,77556.46,8,United Kingdom,6190.416666666667,6463.038333333334,400,1,0,0,0,0,2,0.058823529411764705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
12347.0,0.18181818181818182,0.8181818181818182,0.0,0.1857707509881423,0.33201581027667987,0.15810276679841898,0.16600790513833993,0.0,0.0,0.15810276679841898,126,8,3286,5633.32,8,Iceland,410.75,704.165,402,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12348.0,0.21568627450980393,0.45098039215686275,0.3333333333333333,0.39215686274509803,0.21568627450980393,0.0,0.3333333333333333,0.0,0.0,0.058823529411764705,25,5,2714,2019.4,5,Finland,542.8,403.88,362,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12349.0,0.7371428571428571,0.26285714285714284,0.0,0.41714285714285715,0.005714285714285714,0.0,0.5771428571428572,0.0,0.0,0.0,138,4,1624,4428.69,4,Italy,406.0,1107.1725,570,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12350.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17,1,197,334.4,1,Norway,197.0,334.4,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12351.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,261,300.93,1,Unspecified,261.0,300.93,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12352.0,0.17475728155339806,0.8252427184466019,0.0,0.11650485436893204,0.3300970873786408,0.2815533980582524,0.21359223300970873,0.05825242718446602,0.0,0.0,70,10,724,2849.84,9,Norway,72.4,284.98400000000004,356,1,0,0,0,0,7,0.06796116504854369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12353.0,0.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,23,2,212,406.76,2,Bahrain,106.0,203.38,204,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12354.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,58,1,530,1079.4,1,Spain,530.0,1079.4,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12355.0,0.6285714285714286,0.37142857142857144,0.0,0.37142857142857144,0.0,0.0,0.0,0.6285714285714286,0.0,0.0,35,2,543,947.61,2,Bahrain,271.5,473.805,353,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
